date,open,high,low,close,volume,source,price
2021-05-23,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1585032040.0,yahoo_10_years,7.999999979801942e-06
2021-05-24,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,2179651359.0,yahoo_10_years,1.1000000085914508e-05
2021-05-25,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.000000318337698e-06,1415340765.0,yahoo_10_years,9.000000318337698e-06
2021-05-26,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,994520516.0,yahoo_10_years,9.999999747378752e-06
2021-05-27,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,679602960.0,yahoo_10_years,9.000000318337698e-06
2021-05-28,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,690703669.0,yahoo_10_years,7.999999979801942e-06
2021-05-29,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,502184994.0,yahoo_10_years,7.999999979801942e-06
2021-05-30,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,440967883.0,yahoo_10_years,7.999999979801942e-06
2021-05-31,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,910298126.0,yahoo_10_years,9.000000318337698e-06
2021-06-01,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,795576484.0,yahoo_10_years,9.000000318337698e-06
2021-06-02,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,1190841704.0,yahoo_10_years,9.000000318337698e-06
2021-06-03,9.000000318337698e-06,9.999999747378752e-06,9.000000318337698e-06,9.999999747378752e-06,841784028.0,yahoo_10_years,9.999999747378752e-06
2021-06-04,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,819027578.0,yahoo_10_years,9.000000318337698e-06
2021-06-05,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,507707187.0,yahoo_10_years,7.999999979801942e-06
2021-06-06,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,359457882.0,yahoo_10_years,9.000000318337698e-06
2021-06-07,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,469707680.0,yahoo_10_years,7.999999979801942e-06
2021-06-08,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,794735555.0,yahoo_10_years,7.000000096013537e-06
2021-06-09,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,546752922.0,yahoo_10_years,7.000000096013537e-06
2021-06-10,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,420178357.0,yahoo_10_years,7.000000096013537e-06
2021-06-11,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,402206125.0,yahoo_10_years,6.000000212225132e-06
2021-06-12,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,602206703.0,yahoo_10_years,6.000000212225132e-06
2021-06-13,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,479855598.0,yahoo_10_years,7.000000096013537e-06
2021-06-14,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,484227038.0,yahoo_10_years,7.000000096013537e-06
2021-06-15,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,464565251.0,yahoo_10_years,7.000000096013537e-06
2021-06-16,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,1147441100.0,yahoo_10_years,7.999999979801942e-06
2021-06-17,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,645884625.0,yahoo_10_years,7.999999979801942e-06
2021-06-18,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,560685269.0,yahoo_10_years,7.000000096013537e-06
2021-06-19,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,800211655.0,yahoo_10_years,7.999999979801942e-06
2021-06-20,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,644943959.0,yahoo_10_years,7.999999979801942e-06
2021-06-21,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,6.000000212225132e-06,719083156.0,yahoo_10_years,6.000000212225132e-06
2021-06-22,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,798815195.0,yahoo_10_years,6.000000212225132e-06
2021-06-23,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,538227669.0,yahoo_10_years,7.000000096013537e-06
2021-06-24,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,374340895.0,yahoo_10_years,7.000000096013537e-06
2021-06-25,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,809551822.0,yahoo_10_years,7.000000096013537e-06
2021-06-26,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,506208122.0,yahoo_10_years,7.000000096013537e-06
2021-06-27,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,368723897.0,yahoo_10_years,7.999999979801942e-06
2021-06-28,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,511642751.0,yahoo_10_years,7.999999979801942e-06
2021-06-29,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.000000318337698e-06,1049937292.0,yahoo_10_years,9.000000318337698e-06
2021-06-30,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,774601888.0,yahoo_10_years,9.000000318337698e-06
2021-07-01,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,472303878.0,yahoo_10_years,7.999999979801942e-06
2021-07-02,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,350380456.0,yahoo_10_years,7.999999979801942e-06
2021-07-03,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,387155665.0,yahoo_10_years,9.000000318337698e-06
2021-07-04,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,382389431.0,yahoo_10_years,9.000000318337698e-06
2021-07-05,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,414501521.0,yahoo_10_years,7.999999979801942e-06
2021-07-06,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,695333646.0,yahoo_10_years,9.000000318337698e-06
2021-07-07,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,400230047.0,yahoo_10_years,9.000000318337698e-06
2021-07-08,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,461821077.0,yahoo_10_years,7.999999979801942e-06
2021-07-09,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,329969149.0,yahoo_10_years,7.999999979801942e-06
2021-07-10,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,307713037.0,yahoo_10_years,7.999999979801942e-06
2021-07-11,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,298920323.0,yahoo_10_years,7.999999979801942e-06
2021-07-12,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,368432617.0,yahoo_10_years,7.999999979801942e-06
2021-07-13,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,314206348.0,yahoo_10_years,7.000000096013537e-06
2021-07-14,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,395606690.0,yahoo_10_years,7.000000096013537e-06
2021-07-15,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,324530088.0,yahoo_10_years,7.000000096013537e-06
2021-07-16,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,271727428.0,yahoo_10_years,7.000000096013537e-06
2021-07-17,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,268313051.0,yahoo_10_years,7.000000096013537e-06
2021-07-18,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,248486447.0,yahoo_10_years,7.000000096013537e-06
2021-07-19,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,300950718.0,yahoo_10_years,6.000000212225132e-06
2021-07-20,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,319956020.0,yahoo_10_years,6.000000212225132e-06
2021-07-21,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,426562130.0,yahoo_10_years,7.000000096013537e-06
2021-07-22,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,280680850.0,yahoo_10_years,6.000000212225132e-06
2021-07-23,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,287940255.0,yahoo_10_years,6.000000212225132e-06
2021-07-24,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,306621338.0,yahoo_10_years,6.000000212225132e-06
2021-07-25,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,254137124.0,yahoo_10_years,6.000000212225132e-06
2021-07-26,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,498257871.0,yahoo_10_years,6.000000212225132e-06
2021-07-27,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,255458467.0,yahoo_10_years,6.000000212225132e-06
2021-07-28,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,226907730.0,yahoo_10_years,6.000000212225132e-06
2021-07-29,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,242987987.0,yahoo_10_years,6.000000212225132e-06
2021-07-30,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,230614586.0,yahoo_10_years,6.000000212225132e-06
2021-07-31,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,198884325.0,yahoo_10_years,6.000000212225132e-06
2021-08-01,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,311601900.0,yahoo_10_years,6.000000212225132e-06
2021-08-02,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,233023667.0,yahoo_10_years,6.000000212225132e-06
2021-08-03,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,199311312.0,yahoo_10_years,6.000000212225132e-06
2021-08-04,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,204792386.0,yahoo_10_years,6.000000212225132e-06
2021-08-05,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,223975108.0,yahoo_10_years,6.000000212225132e-06
2021-08-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,248522840.0,yahoo_10_years,6.000000212225132e-06
2021-08-07,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,7.999999979801942e-06,734135430.0,yahoo_10_years,7.999999979801942e-06
2021-08-08,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,923406924.0,yahoo_10_years,7.000000096013537e-06
2021-08-09,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,513264306.0,yahoo_10_years,7.999999979801942e-06
2021-08-10,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,358181887.0,yahoo_10_years,7.999999979801942e-06
2021-08-11,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,567005556.0,yahoo_10_years,7.999999979801942e-06
2021-08-12,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,447258857.0,yahoo_10_years,7.999999979801942e-06
2021-08-13,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,405525616.0,yahoo_10_years,7.999999979801942e-06
2021-08-14,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,633410230.0,yahoo_10_years,7.999999979801942e-06
2021-08-15,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,511338751.0,yahoo_10_years,9.000000318337698e-06
2021-08-16,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,1002600515.0,yahoo_10_years,9.000000318337698e-06
2021-08-17,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,655276452.0,yahoo_10_years,7.999999979801942e-06
2021-08-18,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,490220596.0,yahoo_10_years,7.999999979801942e-06
2021-08-19,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,358840820.0,yahoo_10_years,7.999999979801942e-06
2021-08-20,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,360709045.0,yahoo_10_years,7.999999979801942e-06
2021-08-21,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,314483766.0,yahoo_10_years,7.999999979801942e-06
2021-08-22,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,292686165.0,yahoo_10_years,7.999999979801942e-06
2021-08-23,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,7.999999979801942e-06,327215667.0,yahoo_10_years,7.999999979801942e-06
2021-08-24,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,393979166.0,yahoo_10_years,7.000000096013537e-06
2021-08-25,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,338503381.0,yahoo_10_years,7.999999979801942e-06
2021-08-26,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,323676890.0,yahoo_10_years,7.000000096013537e-06
2021-08-27,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,320305426.0,yahoo_10_years,7.000000096013537e-06
2021-08-28,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,223873537.0,yahoo_10_years,7.000000096013537e-06
2021-08-29,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,236155012.0,yahoo_10_years,7.000000096013537e-06
2021-08-30,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,253774182.0,yahoo_10_years,7.000000096013537e-06
2021-08-31,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,290290305.0,yahoo_10_years,7.000000096013537e-06
2021-09-01,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,261160667.0,yahoo_10_years,7.000000096013537e-06
2021-09-02,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,283366175.0,yahoo_10_years,7.000000096013537e-06
2021-09-03,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,260789327.0,yahoo_10_years,7.000000096013537e-06
2021-09-04,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,378296266.0,yahoo_10_years,7.000000096013537e-06
2021-09-05,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,300455633.0,yahoo_10_years,7.999999979801942e-06
2021-09-06,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,334086564.0,yahoo_10_years,7.000000096013537e-06
2021-09-07,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,626371078.0,yahoo_10_years,6.000000212225132e-06
2021-09-08,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,7.000000096013537e-06,986403280.0,yahoo_10_years,7.000000096013537e-06
2021-09-09,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,784078100.0,yahoo_10_years,7.000000096013537e-06
2021-09-10,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,423733163.0,yahoo_10_years,7.000000096013537e-06
2021-09-11,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,229243568.0,yahoo_10_years,7.000000096013537e-06
2021-09-12,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,243064232.0,yahoo_10_years,7.000000096013537e-06
2021-09-13,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,312789256.0,yahoo_10_years,7.000000096013537e-06
2021-09-14,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,184111151.0,yahoo_10_years,7.000000096013537e-06
2021-09-15,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,203289266.0,yahoo_10_years,7.000000096013537e-06
2021-09-16,7.000000096013537e-06,9.000000318337698e-06,7.000000096013537e-06,9.000000318337698e-06,1624140154.0,yahoo_10_years,9.000000318337698e-06
2021-09-17,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,1663423890.0,yahoo_10_years,7.999999979801942e-06
2021-09-18,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,495513218.0,yahoo_10_years,7.999999979801942e-06
2021-09-19,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,572892039.0,yahoo_10_years,7.999999979801942e-06
2021-09-20,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,586521394.0,yahoo_10_years,7.000000096013537e-06
2021-09-21,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,382463972.0,yahoo_10_years,7.000000096013537e-06
2021-09-22,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,280642205.0,yahoo_10_years,7.000000096013537e-06
2021-09-23,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,370820478.0,yahoo_10_years,7.999999979801942e-06
2021-09-24,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,456964069.0,yahoo_10_years,7.000000096013537e-06
2021-09-25,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,227277343.0,yahoo_10_years,7.000000096013537e-06
2021-09-26,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,257921523.0,yahoo_10_years,7.000000096013537e-06
2021-09-27,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,207040951.0,yahoo_10_years,7.000000096013537e-06
2021-09-28,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,229379215.0,yahoo_10_years,7.000000096013537e-06
2021-09-29,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,193035725.0,yahoo_10_years,7.000000096013537e-06
2021-09-30,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,308553065.0,yahoo_10_years,7.000000096013537e-06
2021-10-01,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,316837935.0,yahoo_10_years,7.999999979801942e-06
2021-10-02,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,320232218.0,yahoo_10_years,7.999999979801942e-06
2021-10-03,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,627602337.0,yahoo_10_years,9.000000318337698e-06
2021-10-04,9.000000318337698e-06,1.4999999621068127e-05,7.999999979801942e-06,1.2999999853491316e-05,5113996411.0,yahoo_10_years,1.2999999853491316e-05
2021-10-05,1.2999999853491316e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.700000029813964e-05,9382762020.0,yahoo_10_years,1.700000029813964e-05
2021-10-06,1.700000029813964e-05,2.9000000722589903e-05,1.700000029813964e-05,2.8000000384054147e-05,15233960302.0,yahoo_10_years,2.8000000384054147e-05
2021-10-07,2.8000000384054147e-05,3.5000000934815034e-05,2.099999983329326e-05,2.300000051036477e-05,18731843000.0,yahoo_10_years,2.300000051036477e-05
2021-10-08,2.300000051036477e-05,2.9000000722589903e-05,2.099999983329326e-05,2.700000004551839e-05,12326548369.0,yahoo_10_years,2.700000004551839e-05
2021-10-09,2.700000004551839e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.700000004551839e-05,6401062357.0,yahoo_10_years,2.700000004551839e-05
2021-10-10,2.700000004551839e-05,2.8000000384054147e-05,2.499999936844688e-05,2.5999999706982635e-05,3597266431.0,yahoo_10_years,2.5999999706982635e-05
2021-10-11,2.5999999706982635e-05,3.199999991920777e-05,2.5999999706982635e-05,3.099999958067201e-05,7321688785.0,yahoo_10_years,3.099999958067201e-05
